id,Month,Avg,Max,Min
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,10,"6,3","9,3","3,6"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,11,"1,8","4,3","-0,6"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,12,"0,0","2,5","-2,7"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,1,"5,4","7,2","3,3"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,2,"5,7","8,3","3,2"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,3,"7,7","10,0","5,5"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,4,"9,7","12,6","6,7"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,5,"12,9","15,8","9,9"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,6,"16,3","19,3","13,2"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,7,"18,1","21,0","14,8"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,8,"18,4","21,7","15,0"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,9,"15,9","19,1","12,7"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,10,"12,9","15,7","10,3"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,11,"8,8","11,0","6,6"
955899e4-7ccb-4b6a-a85c-a9b73efe6876,12,"6,4","8,3","4,3"
57239ab4-5376-4b81-a35e-fc8a27fb5812,1,"0,1","2,8","-2,8"
57239ab4-5376-4b81-a35e-fc8a27fb5812,2,"1,0","3,7","-1,8"
57239ab4-5376-4b81-a35e-fc8a27fb5812,3,"1,6","4,5","-1,0"
57239ab4-5376-4b81-a35e-fc8a27fb5812,4,"4,3","7,5","1,6"
57239ab4-5376-4b81-a35e-fc8a27fb5812,5,"6,9","10,2","4,0"
57239ab4-5376-4b81-a35e-fc8a27fb5812,6,"9,7","12,9","7,0"
57239ab4-5376-4b81-a35e-fc8a27fb5812,7,"11,6","14,9","9,1"
57239ab4-5376-4b81-a35e-fc8a27fb5812,8,"11,2","14,5","8,5"
57239ab4-5376-4b81-a35e-fc8a27fb5812,9,"8,6","11,6","6,0"
57239ab4-5376-4b81-a35e-fc8a27fb5812,10,"5,5","8,2","3,1"
57239ab4-5376-4b81-a35e-fc8a27fb5812,11,"2,7","5,1","0,2"
57239ab4-5376-4b81-a35e-fc8a27fb5812,12,"0,4","2,9","-2,4"
6d8f232e-d34d-4dac-95c4-e01d7983124c,1,"-1,5","3,5","-4,5"
6d8f232e-d34d-4dac-95c4-e01d7983124c,2,"1,1","6,5","-2,2"
